role,name,team
student,damithc,CS2103-T00-1
student,bluesky0911,CS2103-T00-2
student,anisyusof-sc,CS2103-T00-3
student,janakanuwan,CS2103-T00-4
student,jon-chua,CS2103-T00-5
student,eugenetyc,CS2103-T00-6
student,shaoyi1997,CS2103-T00-7
student,jolynnn8D,CS2103-T00-1
student,ianyong,CS2103-T00-2
student,ong6,CS2103-T00-3
student,JoelHo,CS2103-T00-4
student,samuelfangjw,CS2103-T00-5
student,chrisgzf,CS2103-T00-6
student,tlylt,CS2103-T00-7
student,AudreyFelicio,CS2103-T00-1
student,hansebastian,CS2103-T00-2
student,kouyk,CS2103-T00-3
student,arsatis,CS2103-T00-4
student,shawn-nyk,CS2103-T00-5
student,w2vgd,CS2103-T00-6
student,daniellau88,CS2103-T00-7
student,wltan,CS2103-T00-1
student,tjtanjin,CS2103-T00-2
student,rolandyuwy,CS2103-T00-3
student,w-yeehong,CS2103-T00-4
student,qwoprocks,CS2103-T00-5
student,pooty3,CS2103-T00-6
student,Abhiman2211,CS2103-T00-7
student,tingalinga,CS2103-T00-1
student,keanecjy,CS2103-T00-2
student,ivantjh,CS2103-T00-3
student,Avalionnet,CS2103-T00-4
student,DrWala,CS2103-T00-5
student,tohyuting,CS2103-T00-6
student,aizatazhar,CS2103-T00-7
student,ong-yinggao98,CS2103-T00-1
student,anubh-v,CS2103-T00-2
student,seanlowjk,CS2103-T00-3
student,dingyuchen,CS2103-T00-4
student,kkangs0226,CS2103-T00-5
